id;categoria;palabra;archivo_imagen;descripcion_actual;descripcion_ocr;descripcion_corregida
LSP-000430;juguetes_juegos_deportes;motociclismo;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_05.png;;MOTOCICLISMO WY ( WwW Con las manos en pufo realizar a la altura de las mufiecas movimientos hacia atras y hacia adelante.;
LSP-000431;juguetes_juegos_deportes;pesca;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_06.png;;PESCA y, Colocar las manos con los dedos flexionados excepto el pulgar, la mano derecha detras de la izquierda y realizar accidn de lanzar hacia adelante con movimiento de ambas manos.;
LSP-000432;juguetes_juegos_deportes;boxeo;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_01.png;;BOXEO =~. — _ wae) ‘ —_ _—7_ i ~N , wy _ . Colocar los pufios cerrados con movimientos alternados de adelante hacia atras.;
LSP-000433;juguetes_juegos_deportes;ajedrez;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_02.png;;AJEDREZ Con los dedos pulgar e indice hacer movimientos simulando coger las fichas.;
LSP-000434;juguetes_juegos_deportes;automovilismo;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_03.png;;AUTOMOVILISMO 3 | sOAGw \ / N er id timon del auto. >;
LSP-000435;juguetes_juegos_deportes;básquet;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_04.png;;BASQUET Oa y} a> (i \ ‘ ® _- a \ y, —-™ y LY ~~ -7 1. Con la mano derecha extendida, hacer movimientos hacia abajo. 2. Simularlanzarlapelota alacanasta.;
LSP-000436;juguetes_juegos_deportes;ping pong;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_05.png;;o ~ ~ ‘ XN ‘ \ ! ‘ ' Ay ‘ LY \ 4’ \ / ‘ 4 == Accién de jugar con la raqueta lanzando la pelota, con movimientos a nivel de la mufieca.;
LSP-000516;numeros;catorce;imagenes/numeros/catorce.png;;\ IN a \ \ Vu;
LSP-000517;numeros;cero;imagenes/numeros/cero.png;;;
LSP-000518;numeros;cien;imagenes/numeros/cien.png;;LCIEN |;
LSP-000519;numeros;cinco;imagenes/numeros/cinco.png;;\;
LSP-000520;numeros;cincuenta;imagenes/numeros/cincuenta.png;;(;
LSP-000521;numeros;cuarenta;imagenes/numeros/cuarenta.png;;ray;
LSP-000522;numeros;cuatro;imagenes/numeros/cuatro.png;;( (;
LSP-000523;numeros;diez;imagenes/numeros/diez.png;;ae \;
LSP-000524;numeros;doce;imagenes/numeros/doce.png;;= (iy va;
LSP-000525;numeros;dos;imagenes/numeros/dos.png;;AR;
LSP-000526;numeros;mil;imagenes/numeros/mil.png;;a;
LSP-000527;numeros;nueve;imagenes/numeros/nueve.png;;;
LSP-000528;numeros;ocho;imagenes/numeros/ocho.png;;<;
LSP-000529;numeros;once;imagenes/numeros/once.png;;{;
LSP-000530;numeros;quince;imagenes/numeros/quince.png;;“\\ Bx ‘ A \! \ NOY . ~;
LSP-000531;numeros;seis;imagenes/numeros/seis.png;;SEIS =;
LSP-000532;numeros;sesenta;imagenes/numeros/sesenta.png;;Vy Xt;
LSP-000533;numeros;sesenta y uno;imagenes/numeros/sesenta_y_uno.png;;{ STZ $ ) ve;
LSP-000534;numeros;siete;imagenes/numeros/siete.png;;a:;
LSP-000535;numeros;trece;imagenes/numeros/trece.png;;\;
LSP-000536;numeros;treinta;imagenes/numeros/treinta.png;;;
LSP-000537;numeros;treinta y uno;imagenes/numeros/treinta_y_uno.png;;—“<_ s/s ‘4;
LSP-000538;numeros;tres;imagenes/numeros/tres.png;;(;
LSP-000539;numeros;un millon;imagenes/numeros/un_millon.png;;;
LSP-000540;numeros;uno;imagenes/numeros/uno.png;;Sih;
LSP-000541;numeros;veinte;imagenes/numeros/veinte.png;;oe Y/ \S&;
LSP-000542;numeros;veintiseis;imagenes/numeros/veintiseis.png;;_;
LSP-000543;numeros;veintiuno;imagenes/numeros/veintiuno.png;;(;
LSP-000555;paises_y_ciudades;américa;imagenes/paises_y_ciudades/revisar_pagina_221_tarjeta_01.png;;eee Le eee eee Entrelazar dedos de ambas manos y realizar un movimiento circular.;
LSP-000556;paises_y_ciudades;américa del sur;imagenes/paises_y_ciudades/revisar_pagina_221_tarjeta_02.png;;AMERICA DEL SUR We eee 2. Configurar “S”.;
LSP-000557;paises_y_ciudades;áfrica;imagenes/paises_y_ciudades/revisar_pagina_221_tarjeta_03.png;;AFRICA é s @ AS a a a —=_ = \ t | Y ’ D 4 7 ya Con la palma de la mano derecha extendida y el dedo medio flexionado , realizar un movimiento circular delante del rostro.;
LSP-000558;paises_y_ciudades;asia;imagenes/paises_y_ciudades/revisar_pagina_221_tarjeta_04.png;;"ASIA IN . of y a a a A pb \t 4) | 4 | a * y; es & a ¢ A S\ x del rostro, comenzando en el menton.";
LSP-000559;paises_y_ciudades;oceanía;imagenes/paises_y_ciudades/revisar_pagina_221_tarjeta_05.png;;Con cuatro dedos extendidos de la mano derecha a la altura del hombro derecho, realizar un movimiento pequeno hacia afuera.;
LSP-000560;paises_y_ciudades;europa;imagenes/paises_y_ciudades/revisar_pagina_221_tarjeta_06.png;;EUROPA aT ew aN ‘iN 4 1 \ ! —<_ —z, \ \ yy \ / \ 7 7 ‘S 74 Configurar “E” a la altura de la nariz efectuar un movimiento circular alrededor del rostro, regresando al mismo lugar.;
LSP-000561;paises_y_ciudades;alemania;imagenes/paises_y_ciudades/revisar_pagina_222_tarjeta_01.png;;ALEMANIA i 0 D> @ iy Colocar en la frente el dorso de la mano derecha con el indice extendido, los demas dedos flexionados.;
LSP-000562;paises_y_ciudades;argentina;imagenes/paises_y_ciudades/revisar_pagina_222_tarjeta_02.png;;ARGENTINA % | ( \ —™N y) Con la mano derecha semiflexionada, realizar pequefios movimientos a la altura del hombro derecho,.;
LSP-000563;paises_y_ciudades;bolivia;imagenes/paises_y_ciudades/revisar_pagina_222_tarjeta_03.png;;cy ™ yy Unir las yemas del pulgar, medio y anular, realizar movimientos giratorios.;
LSP-000564;paises_y_ciudades;brasil;imagenes/paises_y_ciudades/revisar_pagina_222_tarjeta_04.png;;"Ap > ("" re SU Flexionando el pulgar de la mano derecha, los demas dedos extendidos, realizar un movimiento ondulatorio hacia abajo.";
LSP-000565;paises_y_ciudades;canadá;imagenes/paises_y_ciudades/revisar_pagina_222_tarjeta_05.png;;ANADA C .= Dw > =p Con los dedos flexionados excepto el pulgar, apoyar el borde radial de la mano derecha en el pecho, ejecutar movimiento de la derecha hacia la izquierda.;
LSP-000566;paises_y_ciudades;chile;imagenes/paises_y_ciudades/revisar_pagina_222_tarjeta_06.png;;CHILE N gi ) py. Unir yemas de dedo indice y pulgar en la sien, los demas dedos extendidos y realizar un movimiento hacia atras.;
LSP-000567;paises_y_ciudades;china;imagenes/paises_y_ciudades/revisar_pagina_223_tarjeta_01.png;;CHINA fae l — iW | “¢ = l Trazar una linea horizontal en el pecho de izquierda a derecha y de ese punto una linea vertical hacia abajo.;
LSP-000568;paises_y_ciudades;colombia;imagenes/paises_y_ciudades/revisar_pagina_223_tarjeta_02.png;;COLOMBIA a (% ee Configurar “C” con la mano derecha, realizando movimientos giratorios.;
LSP-000569;paises_y_ciudades;costa rica;imagenes/paises_y_ciudades/revisar_pagina_223_tarjeta_03.png;;COSTA RICA Sobre el dorso de la mano izquierda, configurar la “C’yla“R’.;
LSP-000570;paises_y_ciudades;cuba;imagenes/paises_y_ciudades/revisar_pagina_223_tarjeta_04.png;;@) | = aaa sents ar Vomnnk = ary mAs ‘ pabeheiin qs ss. 2 74 ve . — @ 1. Colocar los cuatro dedos extendidos de la mano derecha en la frente. 2. Girar la posicion hacia afuera.;
LSP-000571;paises_y_ciudades;ecuador;imagenes/paises_y_ciudades/revisar_pagina_223_tarjeta_05.png;;C) 4, Apoyar sobre el menton los dedos indice y medio semiflexionados, realizar pequefos movimientos de giro sobre él.;
LSP-000572;paises_y_ciudades;egipto;imagenes/paises_y_ciudades/revisar_pagina_223_tarjeta_06.png;;Llevar a la frente el dorso de la mano derecha con el indice semiflexionado, los demas dedos flexionados.;
LSP-000573;paises_y_ciudades;españa;imagenes/paises_y_ciudades/revisar_pagina_224_tarjeta_01.png;;ESPANA S | Lal > ze 4 eur (( Con los dedos pulgar e indice de la mano en contacto con el hombro derecho, hacer un movimiento horizontal hacia el hombro izquierdo.;
LSP-000574;paises_y_ciudades;estados unidos;imagenes/paises_y_ciudades/revisar_pagina_224_tarjeta_02.png;;ESTADOS UNIDOS == => — — > <_— Formar la “U” del alfabeto con la mano derecha realizar un movimiento de vaivén de derecha a izquierda.;
LSP-000575;paises_y_ciudades;francia;imagenes/paises_y_ciudades/revisar_pagina_224_tarjeta_03.png;;FRANCIA ) @ 2 @ Wy 1. Configurar la letra F con la mano derecha a la altura de la boca. 2. Girarlamufieca hacia adelante.;
LSP-000576;paises_y_ciudades;holanda;imagenes/paises_y_ciudades/revisar_pagina_224_tarjeta_04.png;;HOLANDA % Man, / / —— ¥ Sh Manos abiertas al nivel de las orejas llevarlas hacia afuera uniendo las yemas.;
LSP-000577;paises_y_ciudades;india;imagenes/paises_y_ciudades/revisar_pagina_224_tarjeta_05.png;;Llevar el dedo indice extendido al centro de la frente.;
LSP-000578;paises_y_ciudades;inglaterra;imagenes/paises_y_ciudades/revisar_pagina_224_tarjeta_06.png;;\ [>I 0) 2) XK Ejecutar un movimiento en forma de aspa delante del tronco con los dedos indice, medio, anular y mefique extendidos y el pulgar flexionado en la palma de la mano derecha.;
LSP-000579;paises_y_ciudades;uruguay;imagenes/paises_y_ciudades/revisar_pagina_226_tarjeta_01.png;;a> wa I Lb. L 4 Formar la “U” del alfabeto con la cara palmar hacia adentro y girar la mano hacia afuera varias veces.;
LSP-000580;paises_y_ciudades;venezuela;imagenes/paises_y_ciudades/revisar_pagina_226_tarjeta_02.png;;VENEZUELA Es) a <q (>> i) ) (7 —“~N ) - 4 LL. Con los dedos indice y medio extendidos y separados de la mano derecha hacer un movimiento ondulatorio hacia abajo.;
LSP-000581;paises_y_ciudades;amazonas;imagenes/paises_y_ciudades/revisar_pagina_226_tarjeta_03.png;;—_ —_=s= a) = oar a * yf 2 “ 1 1 1 . 1 ' 1 ’ ' ! ‘Se ‘Me Configurando “A” con la mano derecha y realizar movimientos ondulatorios hacia la izquierda con la mano extendida;
LSP-000582;paises_y_ciudades;ancash;imagenes/paises_y_ciudades/revisar_pagina_226_tarjeta_04.png;;ANCASH]... on, y ‘ H ‘ m4 1 It ener sa! —— — ) 4 as = ——_Z /~T™ Configurando “A” con la mano derecha realizar movimientos ondulatorios amplios a la altura de la frente. — df;
LSP-000583;paises_y_ciudades;apurímac;imagenes/paises_y_ciudades/revisar_pagina_226_tarjeta_05.png;;"APURIMAC 0 4 ~ ox * ‘, | Xe @/\) 1. Configurarlaletra""A"" . 2. Configurar la letra ""C"" con un movimiento horizontal hacia la derecha.";
LSP-000584;paises_y_ciudades;arequipa;imagenes/paises_y_ciudades/revisar_pagina_226_tarjeta_06.png;;AREQUIPA A s @ 0 \ / N \A& < . ’ J .———!/ tk Colocar la mano izquierda con los dedos semiflexionados y el dorso hacia afuera, introducir la mano derecha haciendo contacto con la palma de la mano izquierda con movimiento de abajo hacia arriba, terminar la configuracién con los dedos extendidos. _;
LSP-000585;paises_y_ciudades;huánuco;imagenes/paises_y_ciudades/revisar_pagina_228_tarjeta_01.png;;HUANUCO AN: i aa x nr =—_Z @ mm 1. Configurar lasefia de leon 2. Colocar la mano derecha delante del tronco con los dedos semiflexionados.;
LSP-000586;paises_y_ciudades;huancayo;imagenes/paises_y_ciudades/revisar_pagina_228_tarjeta_02.png;;HUANCAYO = ors y4 x \ 4 \ J : 5 ’ : | ‘ | 4 Y ? “S_-7” Configurar letra H con la mano derecha, realizar movimientos circulares hacia adelante.;
